yaw_delta,pitch_delta,target_yaw,target_pitch,since_attack,distance,on_ground,delta_x,delta_y,delta_z,target_velocity_x,target_velocity_y,target_velocity_z,player_velocity_x,player_velocity_y,player_velocity_z,yaw,pitch
-3.684351,-12.418976,-24.458061,-10.666615,0.288000,2.847923,0.000000,1.158743,0.527135,2.547569,-0.128000,0.419875,0.187000,-0.101353,-0.373904,0.106340,-20.773710,1.752361
-3.030394,-22.973919,-25.938683,-14.910660,0.384000,3.063157,0.000000,1.294737,0.788186,2.661831,-0.049875,-0.373875,0.072750,-0.101941,-0.444826,0.118345,-22.908289,8.063258
0.197237,-26.013329,-27.722668,-12.010389,0.480000,3.107715,1.000000,1.414040,0.646687,2.690759,-0.049875,-0.373875,0.072750,-0.101665,-0.078400,0.129616,-27.919905,14.002938
0.798935,-19.286449,-32.967857,0.748989,0.576000,2.762187,0.000000,1.502969,-0.036110,2.317209,0.047250,0.419875,-0.150250,-0.044415,0.333200,0.297522,-33.766792,20.035439
2.320171,-16.901756,-36.922279,7.774070,0.672000,2.641472,0.000000,1.572228,-0.357299,2.092322,0.047250,0.419875,-0.150250,-0.045026,0.248136,0.293951,-39.242451,24.675827
0.235146,-14.042441,-41.234692,13.417619,0.768000,2.557318,0.000000,1.639643,-0.593425,1.870640,0.047250,0.419875,-0.150250,-0.043348,0.164773,0.291035,-41.469837,27.460060
-5.713547,-14.926552,-48.111462,13.925625,0.864000,2.328703,0.000000,1.682640,-0.560428,1.509139,0.047250,0.419875,-0.150250,-0.040903,0.083078,0.288456,-42.397915,28.852177
-7.469658,-19.028563,-56.271309,12.143808,0.960000,2.118860,0.000000,1.722771,-0.445736,1.150193,0.047250,0.419875,-0.150250,-0.038296,0.003016,0.286129,-48.801651,31.172371
0.611107,-23.479885,-66.844849,8.991796,1.000000,1.920931,0.000000,1.744483,-0.300228,0.746069,0.047250,0.419875,-0.150250,-0.050120,-0.075444,0.277824,-67.455956,32.471680
14.545769,-27.168064,-78.153870,2.426574,1.000000,1.801179,0.000000,1.761237,-0.076260,0.369421,0.047250,0.419875,-0.150250,-0.045609,-0.152335,0.252820,-92.699638,29.594639
10.152290,-29.875473,-89.879089,-3.343490,0.096000,1.740259,0.000000,1.737293,0.101495,0.003664,0.047250,0.419875,-0.150250,-0.253875,-0.075375,0.076875,-100.031380,26.531982
0.825447,-27.906061,-95.493759,-4.251119,0.192000,1.929570,0.000000,1.915422,0.143035,-0.184229,0.047250,0.419875,-0.150250,-0.231026,-0.152268,0.069956,-96.319206,23.654942
